history,L,count,p_emp,p_model,p_calibrated
10111101,8,544,1.0,0.6706310510635376,0.7234360575675964
1011111,7,1050,1.0,0.6653216481208801,0.6983723044395447
10111111,8,1050,0.5009523630142212,0.6699446439743042,0.7202578186988831
11,2,24834,0.6618345975875854,0.6782070994377136,0.7572057843208313
110,3,8398,0.5041676759719849,0.6108348369598389,0.40983662009239197
1100,4,4164,0.5,0.6272280812263489,0.4974187910556793
11000,5,2082,0.5028818249702454,0.6399428844451904,0.5668044090270996
110000,6,1035,0.4898550808429718,0.6434082984924316,0.5855599045753479
1100000,7,528,0.46590909361839294,0.6423689126968384,0.5799494385719299
11000000,8,282,0.5,0.651217520236969,0.627142608165741
11000001,8,246,1.0,0.7046599984169006,0.8544097542762756
1100001,7,507,1.0,0.6871419548988342,0.7937430739402771
11000011,8,507,0.483234703540802,0.682929515838623,0.7769766449928284
110001,6,1047,1.0,0.6824470162391663,0.7750032544136047
1100011,7,1047,0.5090735554695129,0.6733919978141785,0.7360253930091858
11000110,8,514,0.4630350172519684,0.6108739376068115,0.4100395143032074
11000111,8,533,1.0,0.6653157472610474,0.6983438730239868
11001,5,2082,1.0,0.6786899566650391,0.7592737674713135
110011,6,2082,0.49039384722709656,0.6704018115997314,0.7223767638206482
1100110,7,1061,0.5212064385414124,0.6188786029815674,0.45226603746414185
11001100,8,508,0.48622047901153564,0.6297503113746643,0.5111804604530334
11001101,8,553,1.0,0.6746941804885864,0.741852343082428
1100111,7,1021,1.0,0.6606050729751587,0.6752389073371887
11001111,8,1021,0.5073457360267639,0.6664609909057617,0.7038418054580688
1101,4,4234,1.0,0.6727049350738525,0.7329221367835999
11011,5,4233,0.4977557361125946,0.6682788729667664,0.7124669551849365
110110,6,2126,0.4882408380508423,0.619803786277771,0.45722508430480957
1101100,7,1088,0.515625,0.6324073672294617,0.5257009267807007
11011000,8,527,0.4876660406589508,0.6409609913825989,0.5723289251327515
11011001,8,561,1.0,0.6816529631614685,0.7717323303222656
1101101,7,1038,1.0,0.6679942607879639,0.7111250162124634
11011011,8,1038,0.5057803392410278,0.6668137311935425,0.7055251002311707
110111,6,2107,1.0,0.6594952940940857,0.6696870923042297
1101111,7,2107,0.49833887815475464,0.661722719669342,0.6807897090911865
11011110,8,1057,0.5146641731262207,0.6375547647476196,0.5538110733032227
11011111,8,1050,1.0,0.6695790886878967,0.7185574769973755
111,3,16436,0.7472621202468872,0.6671390533447266,0.7070737481117249
1110,4,4154,0.5163697600364685,0.6198349595069885,0.4573924243450165
11100,5,2009,0.4952712655067444,0.6330035924911499,0.5289601683616638
111000,6,1014,0.4921104609966278,0.6404704451560974,0.5696686506271362
1110000,7,515,0.5009709000587463,0.6409401297569275,0.5722159743309021
11100000,8,257,0.4941634237766266,0.6461102962493896,0.6000715494155884
11100001,8,258,1.0,0.7024976015090942,0.8477123379707336
1110001,7,499,1.0,0.6811072826385498,0.7694680690765381
11100011,8,499,0.48697394132614136,0.6785309314727783,0.7585938572883606
111001,6,995,1.0,0.6762333512306213,0.7486457228660583
1110011,7,995,0.5005025267601013,0.6685870289802551,0.7139163613319397
11100110,8,497,0.5432595610618591,0.6144711971282959,0.4288499057292938
11100111,8,498,1.0,0.6630632877349854,0.6873920559883118
11101,5,2145,1.0,0.6714935898780823,0.7274026274681091
111011,6,2144,0.48880597949028015,0.6661666035652161,0.7024331092834473
1110110,7,1096,0.48813867568969727,0.6241844892501831,0.48086950182914734
11101100,8,561,0.5080214142799377,0.631382405757904,0.5200982093811035
11101101,8,535,1.0,0.6726800203323364,0.7328091263771057
1110111,7,1048,1.0,0.6588068008422852,0.6662231683731079
11101111,8,1048,0.5028625726699829,0.6658511161804199,0.7009199857711792
1111,4,12282,0.6617814898490906,0.6627076864242554,0.6856467723846436
11110,5,4154,0.5163697600364685,0.6294644474983215,0.5096189975738525
111100,6,2009,0.4952712655067444,0.637090265750885,0.5512784719467163
1111000,7,1014,0.4921104609966278,0.6397736072540283,0.5658852458000183
11110000,8,515,0.5009709000587463,0.6399940252304077,0.5670824646949768
11110001,8,499,1.0,0.694447934627533,0.8208280205726624
1111001,7,995,1.0,0.6744383573532104,0.7407131791114807
11110011,8,995,0.5005025267601013,0.670695960521698,0.7237357497215271
111101,6,2145,1.0,0.6701709628105164,0.7213077545166016
1111011,7,2144,0.48880597949028015,0.6648425459861755,0.6960583925247192
11110110,8,1096,0.48813867568969727,0.6198916435241699,0.45769673585891724
11110111,8,1048,1.0,0.6602635383605957,0.6735345721244812
11111,5,8128,0.7472932934761047,0.6639582514762878,0.6917650699615479
111110,6,2054,0.5175268054008484,0.6361616253852844,0.5462125539779663
1111100,7,991,0.5156407952308655,0.6394859552383423,0.5643221139907837
11111000,8,480,0.47083333134651184,0.6316882967948914,0.5217698812484741
11111001,8,511,1.0,0.6800925731658936,0.7652210593223572
1111101,7,1063,1.0,0.6692973375320435,0.7172433137893677
11111011,8,1062,0.48022598028182983,0.66194748878479,0.6819012761116028
111111,6,6074,0.6618373394012451,0.6647555828094482,0.6956373453140259
1111110,7,2054,0.5175268054008484,0.640440821647644,0.5695080161094666
11111100,8,991,0.5156407952308655,0.626287043094635,0.492294043302536
11111101,8,1063,1.0,0.6674033999443054,0.7083289623260498
1111111,7,4020,0.7457711696624756,0.6656405925750732,0.6999083161354065
11111110,8,1022,0.5362035036087036,0.6241973042488098,0.48093903064727783
11111111,8,2998,0.6591060757637024,0.6631428003311157,0.6877818703651428
