history,L,count,p_emp,p_model,p_calibrated
01111,5,4154,0.494463175535202,0.5250310301780701,0.7097992897033691
011110,6,2100,0.5152381062507629,0.5177162289619446,0.5956181287765503
0111100,7,1018,0.4754420518875122,0.5215145349502563,0.6571260094642639
01111000,8,534,0.5112359523773193,0.524379551410675,0.7004011273384094
01111001,8,484,1.0,0.5387392044067383,0.8637793064117432
0111101,7,1082,1.0,0.5346708297729492,0.8269200921058655
01111011,8,1082,0.49722737073898315,0.5344420075416565,0.8246307969093323
011111,6,2054,1.0,0.526989758014679,0.736980140209198
0111111,7,2054,0.49756571650505066,0.5301434993743896,0.7771798968315125
01111110,8,1032,0.4990310072898865,0.5218678116798401,0.6626234650611877
01111111,8,1022,1.0,0.5331577658653259,0.811342179775238
1,1,33233,0.7472993731498718,0.5200592279434204,0.6340470314025879
10,2,8398,0.5041676759719849,0.5137250423431396,0.5276580452919006
100,3,4164,0.5,0.5152814388275146,0.5544214844703674
1000,4,2082,0.5028818249702454,0.5165135860443115,0.5753974318504333
10000,5,1035,0.4898550808429718,0.5171684622764587,0.5864435434341431
100000,6,528,0.46590909361839294,0.5175280570983887,0.5924732685089111
1000000,7,282,0.5,0.518410325050354,0.6071473956108093
10000000,8,141,0.5531914830207825,0.5196406841278076,0.6272903084754944
10000001,8,141,1.0,0.5282844305038452,0.7540267705917358
1000001,7,246,1.0,0.5248230695724487,0.7068175673484802
10000011,8,246,0.4796747863292694,0.5267228484153748,0.7333739995956421
100001,6,507,1.0,0.5243772268295288,0.7003673315048218
1000011,7,507,0.483234703540802,0.5233827233314514,0.6856939196586609
10000110,8,262,0.5,0.5188707709312439,0.6147319078445435
10000111,8,245,1.0,0.528873860836029,0.7615385055541992
10001,5,1047,1.0,0.5251529216766357,0.7115376591682434
100011,6,1047,0.5090735554695129,0.5226933360099792,0.6752994656562805
1000110,7,514,0.4630350172519684,0.5177016258239746,0.5953733325004578
10001100,8,276,0.5289855003356934,0.5219359993934631,0.6636804342269897
10001101,8,238,1.0,0.5356187224388123,0.8361534476280212
1000111,7,533,1.0,0.5254035592079163,0.715094268321991
10001111,8,533,0.46904316544532776,0.5316244959831238,0.7944884896278381
1001,4,2082,1.0,0.5251013040542603,0.7108023762702942
10011,5,2082,0.49039384722709656,0.5232427716255188,0.683598518371582
100110,6,1061,0.5212064385414124,0.5168431401252747,0.5809658765792847
1001100,7,508,0.48622047901153564,0.5204893946647644,0.6409386396408081
10011000,8,261,0.5134099721908569,0.524042010307312,0.6954655647277832
10011001,8,247,1.0,0.5384588241577148,0.861466109752655
1001101,7,553,1.0,0.531618058681488,0.7944157123565674
10011011,8,553,0.4972875118255615,0.5343115329742432,0.8233147859573364
100111,6,1021,1.0,0.5245003700256348,0.702157199382782
1001111,7,1021,0.5073457360267639,0.5283090472221375,0.7543440461158752
10011110,8,503,0.5308151245117188,0.5219375491142273,0.6637030839920044
10011111,8,518,1.0,0.5334461331367493,0.8143919110298157
101,3,4234,1.0,0.5230190753936768,0.6802331209182739
1011,4,4233,0.4977557361125946,0.5231220126152039,0.681784451007843
10110,5,2126,0.4882408380508423,0.5165509581565857,0.5760307312011719
101100,6,1088,0.515625,0.5195727944374084,0.6261892318725586
1011000,7,527,0.4876660406589508,0.522330641746521,0.6697601079940796
10110000,8,270,0.4481481611728668,0.5252009034156799,0.7122213840484619
10110001,8,257,1.0,0.5393328070640564,0.8685699701309204
1011001,7,561,1.0,0.5340551733970642,0.8207072615623474
10110011,8,561,0.4901960790157318,0.5361647009849548,0.8412905931472778
101101,6,1038,1.0,0.5308072566986084,0.785062313079834
1011011,7,1038,0.5057803392410278,0.5305331945419312,0.7818318605422974
10110110,8,513,0.4873294234275818,0.5229713320732117,0.6795124411582947
10110111,8,525,1.0,0.5364062786102295,0.843521773815155
10111,5,2107,1.0,0.5247814655303955,0.7062196731567383
101111,6,2107,0.49833887815475464,0.5274685025215149,0.7433710694313049
1011110,7,1057,0.5146641731262207,0.5203679203987122,0.6389979720115662
10111100,8,513,0.4600389897823334,0.5262280106544495,0.7266048789024353
10111101,8,544,1.0,0.5434170961380005,0.8977972269058228
1011111,7,1050,1.0,0.5301533341407776,0.7772987484931946
10111111,8,1050,0.5009523630142212,0.5369563698768616,0.8485074639320374
11,2,24834,0.6618345975875854,0.5190531015396118,0.6177205443382263
110,3,8398,0.5041676759719849,0.5145156979560852,0.5412825345993042
1100,4,4164,0.5,0.5171858668327332,0.5867363810539246
11000,5,2082,0.5028818249702454,0.518926203250885,0.6156411170959473
110000,6,1035,0.4898550808429718,0.5200132727622986,0.6333088874816895
1100000,7,528,0.46590909361839294,0.5210031270980835,0.6490930914878845
11000000,8,282,0.5,0.5228224396705627,0.6772598028182983
11000001,8,246,1.0,0.5319744944572449,0.7984308004379272
1100001,7,507,1.0,0.5277237892150879,0.746737539768219
11000011,8,507,0.483234703540802,0.5303836464881897,0.7800551652908325
110001,6,1047,1.0,0.5299455523490906,0.774790346622467
1100011,7,1047,0.5090735554695129,0.5254504084587097,0.7157561182975769
11000110,8,514,0.4630350172519684,0.5211635828018188,0.6516228318214417
11000111,8,533,1.0,0.5318455696105957,0.7969856858253479
11001,5,2082,1.0,0.5293957591056824,0.7680572867393494
110011,6,2082,0.49039384722709656,0.5274440050125122,0.7430469989776611
1100110,7,1061,0.5212064385414124,0.5192393660545349,0.620764434337616
11001100,8,508,0.48622047901153564,0.5243102312088013,0.69939124584198
11001101,8,553,1.0,0.5385612845420837,0.8623154163360596
1100111,7,1021,1.0,0.5264843702316284,0.7301245331764221
11001111,8,1021,0.5073457360267639,0.5342010259628296,0.8221945762634277
1101,4,4234,1.0,0.5275502800941467,0.744452953338623
11011,5,4233,0.4977557361125946,0.5264291763305664,0.7293695211410522
110110,6,2126,0.4882408380508423,0.5187032222747803,0.6119786500930786
1101100,7,1088,0.515625,0.5221295952796936,0.6666697859764099
11011000,8,527,0.4876660406589508,0.5264540910720825,0.7297108173370361
11011001,8,561,1.0,0.5419149994850159,0.8877802491188049
1101101,7,1038,1.0,0.5330924391746521,0.8106461763381958
11011011,8,1038,0.5057803392410278,0.5374157428741455,0.8525716066360474
110111,6,2107,1.0,0.5285234451293945,0.7570917010307312
1101111,7,2107,0.49833887815475464,0.5289434194564819,0.7624145150184631
11011110,8,1057,0.5146641731262207,0.5234489440917969,0.686683177947998
